subject,Classifier,number of sensors,logloss,participant
1,LDA,1,0.936334665,Able-bodied
1,RDA,1,0.74881595,Able-bodied
1,QDA,1,1.008538923,Able-bodied
1,LDA,2,0.638801889,Able-bodied
1,RDA,2,0.512716926,Able-bodied
1,QDA,2,0.750236571,Able-bodied
1,LDA,3,0.542455121,Able-bodied
1,RDA,3,0.455754525,Able-bodied
1,QDA,3,0.701528722,Able-bodied
1,LDA,4,0.494500008,Able-bodied
1,RDA,4,0.457848058,Able-bodied
1,QDA,4,0.752584148,Able-bodied
1,LDA,5,0.4563445,Able-bodied
1,RDA,5,0.456301777,Able-bodied
1,QDA,5,0.788666586,Able-bodied
1,LDA,6,0.457969303,Able-bodied
1,RDA,6,0.4740131,Able-bodied
1,QDA,6,0.804765663,Able-bodied
1,LDA,7,0.463690543,Able-bodied
1,RDA,7,0.489940477,Able-bodied
1,QDA,7,0.838709549,Able-bodied
1,LDA,8,0.454730401,Able-bodied
1,RDA,8,0.496137167,Able-bodied
1,QDA,8,0.82827386,Able-bodied
1,LDA,9,0.42254392,Able-bodied
1,RDA,9,0.509120102,Able-bodied
1,QDA,9,0.829407755,Able-bodied
1,LDA,10,0.431057933,Able-bodied
1,RDA,10,0.527695578,Able-bodied
1,QDA,10,0.867655756,Able-bodied
1,LDA,11,0.458472311,Able-bodied
1,RDA,11,0.539125049,Able-bodied
1,QDA,11,0.907888862,Able-bodied
1,LDA,12,0.470659968,Able-bodied
1,RDA,12,0.531482283,Able-bodied
1,QDA,12,0.928197396,Able-bodied
1,LDA,13,0.476382136,Able-bodied
1,RDA,13,0.507517567,Able-bodied
1,QDA,13,0.940606225,Able-bodied
1,LDA,14,0.482559643,Able-bodied
1,RDA,14,0.49510413,Able-bodied
1,QDA,14,0.851903989,Able-bodied
1,LDA,15,0.498599746,Able-bodied
1,RDA,15,0.50384043,Able-bodied
1,QDA,15,0.864865469,Able-bodied
1,LDA,16,0.520723144,Able-bodied
1,RDA,16,0.521303579,Able-bodied
1,QDA,16,0.893758016,Able-bodied
2,LDA,1,0.924115305,Able-bodied
2,RDA,1,0.538998032,Able-bodied
2,QDA,1,0.672717503,Able-bodied
2,LDA,2,0.654267722,Able-bodied
2,RDA,2,0.430547963,Able-bodied
2,QDA,2,0.569266723,Able-bodied
2,LDA,3,0.507298153,Able-bodied
2,RDA,3,0.391163281,Able-bodied
2,QDA,3,0.534381701,Able-bodied
2,LDA,4,0.443139692,Able-bodied
