Subject number,Subject type,Trial,Electrodes,EMG variance
1,Able-bodied,1,Used,2.908986329693009e-09
1,Able-bodied,1,Not used,1.4733398406144007e-09
1,Able-bodied,2,Used,2.9708294214880095e-09
1,Able-bodied,2,Not used,1.7015059492875791e-09
1,Able-bodied,3,Used,3.6661237210240043e-09
1,Able-bodied,3,Not used,1.8886475716512426e-09
1,Able-bodied,4,Used,3.3764259153191703e-09
1,Able-bodied,4,Not used,1.9566517876577444e-09
1,Able-bodied,5,Used,5.085057128222286e-09
1,Able-bodied,5,Not used,2.325203231709598e-09
1,Able-bodied,6,Used,5.23167337711795e-09
1,Able-bodied,6,Not used,2.3364562409812494e-09
1,Able-bodied,7,Used,4.813502532682043e-09
1,Able-bodied,7,Not used,1.948558883823457e-09
1,Able-bodied,8,Used,4.560336471430257e-09
1,Able-bodied,8,Not used,2.0231776039056475e-09
1,Able-bodied,9,Used,4.086750320028337e-09
1,Able-bodied,9,Not used,1.8944049431598883e-09
1,Able-bodied,10,Used,3.998387895923788e-09
1,Able-bodied,10,Not used,1.9347223802948448e-09
2,Able-bodied,1,Used,1.3268059195764822e-09
2,Able-bodied,1,Not used,1.91940857892895e-09
2,Able-bodied,2,Used,1.3045594938005482e-09
2,Able-bodied,2,Not used,2.1403441911384854e-09
2,Able-bodied,3,Used,1.4588064824729264e-09
2,Able-bodied,3,Not used,2.1496013513988825e-09
2,Able-bodied,4,Used,1.4857612198805664e-09
2,Able-bodied,4,Not used,2.2083503932697304e-09
2,Able-bodied,5,Used,1.8746109572905407e-09
2,Able-bodied,5,Not used,2.1835838406674282e-09
2,Able-bodied,6,Used,1.4627401999423636e-09
2,Able-bodied,6,Not used,1.908339287219386e-09
2,Able-bodied,7,Used,1.0993428980273415e-09
2,Able-bodied,7,Not used,2.0979649133682875e-09
2,Able-bodied,8,Used,1.0839738694565355e-09
2,Able-bodied,8,Not used,1.8166440545010401e-09
2,Able-bodied,9,Used,1.057366093618338e-09
2,Able-bodied,9,Not used,1.7607778829477483e-09
2,Able-bodied,10,Used,1.2445114654945542e-09
2,Able-bodied,10,Not used,2.1624739700882862e-09
3,Able-bodied,1,Used,4.576180482259801e-09
3,Able-bodied,1,Not used,1.6287971440936518e-09
3,Able-bodied,2,Used,4.766675061287262e-09
3,Able-bodied,2,Not used,1.652633781555065e-09
3,Able-bodied,3,Used,5.483573122234312e-09
3,Able-bodied,3,Not used,2.0296561144155328e-09
3,Able-bodied,4,Used,6.443515301488231e-09
3,Able-bodied,4,Not used,2.1987835724056262e-09
3,Able-bodied,5,Used,3.1759762110982153e-09
3,Able-bodied,5,Not used,1.3589833155551378e-09
3,Able-bodied,6,Used,2.9171996846417906e-09
3,Able-bodied,6,Not used,1.3382640304590135e-09
3,Able-bodied,7,Used,4.465185319815614e-09
3,Able-bodied,7,Not used,1.969063654976058e-09
3,Able-bodied,8,Used,3.35896962145362e-09
