subject,Classifier,number of sensors,accuracy,logloss,participant
1,LDA,1,70.6404566,0.936334665,Able-bodied
1,RDA,1,78.03846970000001,0.74881595,Able-bodied
1,QDA,1,80.9060805,1.008538923,Able-bodied
1,LDA,2,85.5633059,0.638801889,Able-bodied
1,RDA,2,90.1853026,0.512716926,Able-bodied
1,QDA,2,94.2436412,0.750236571,Able-bodied
1,LDA,3,89.38913550000001,0.542455121,Able-bodied
1,RDA,3,92.83449590000001,0.455754525,Able-bodied
1,QDA,3,95.899387,0.701528722,Able-bodied
1,LDA,4,92.87677020000001,0.494500008,Able-bodied
1,RDA,4,94.75797929999999,0.45784805799999995,Able-bodied
1,QDA,4,96.4771366,0.752584148,Able-bodied
1,LDA,5,93.9688579,0.4563445,Able-bodied
1,RDA,5,95.2229973,0.456301777,Able-bodied
1,QDA,5,96.58282249999999,0.788666586,Able-bodied
1,LDA,6,93.7433946,0.457969303,Able-bodied
1,RDA,6,95.1032199,0.47401309999999997,Able-bodied
1,QDA,6,96.5687311,0.804765663,Able-bodied
1,LDA,7,94.1520468,0.46369054299999996,Able-bodied
1,RDA,7,95.2089058,0.48994047700000004,Able-bodied
1,QDA,7,96.6885084,0.838709549,Able-bodied
1,LDA,8,94.75797929999999,0.454730401,Able-bodied
1,RDA,8,95.6316494,0.49613716700000005,Able-bodied
1,QDA,8,96.7378285,0.82827386,Able-bodied
1,LDA,9,96.1107588,0.42254392,Able-bodied
1,RDA,9,96.3150849,0.509120102,Able-bodied
1,QDA,9,96.8716973,0.829407755,Able-bodied
1,LDA,10,96.286902,0.43105793299999995,Able-bodied
1,RDA,10,96.3573593,0.527695578,Able-bodied
1,QDA,10,96.80123999999999,0.8676557559999999,Able-bodied
1,LDA,11,96.6955541,0.458472311,Able-bodied
1,RDA,11,96.7378285,0.539125049,Able-bodied
1,QDA,11,96.93510890000002,0.9078888620000001,Able-bodied
1,LDA,12,96.77305709999999,0.470659968,Able-bodied
1,RDA,12,96.80123999999999,0.531482283,Able-bodied
1,QDA,12,96.93510890000002,0.928197396,Able-bodied
1,LDA,13,96.829423,0.476382136,Able-bodied
1,RDA,13,96.92101740000001,0.5075175670000001,Able-bodied
1,QDA,13,96.92806309999999,0.940606225,Able-bodied
1,LDA,14,96.8998802,0.482559643,Able-bodied
1,RDA,14,96.9703375,0.49510413,Able-bodied
1,QDA,14,97.2380751,0.8519039890000001,Able-bodied
1,LDA,15,96.8857888,0.498599746,Able-bodied
1,RDA,15,96.9139717,0.50384043,Able-bodied
1,QDA,15,97.2451208,0.864865469,Able-bodied
1,LDA,16,96.878743,0.520723144,Able-bodied
1,RDA,16,96.8716973,0.521303579,Able-bodied
1,QDA,16,97.2239837,0.8937580159999999,Able-bodied
2,LDA,1,77.09856490000001,0.924115305,Able-bodied
2,RDA,1,86.6978067,0.5389980320000001,Able-bodied
2,QDA,1,88.56620629999999,0.672717503,Able-bodied
2,LDA,2,85.87868940000001,0.654267722,Able-bodied
2,RDA,2,92.7701056,0.430547963,Able-bodied
2,QDA,2,94.84159220000001,0.5692667229999999,Able-bodied
2,LDA,3,89.222854,0.5072981529999999,Able-bodied
2,RDA,3,94.7400487,0.39116328100000003,Able-bodied
2,QDA,3,96.62198749999999,0.534381701,Able-bodied
2,LDA,4,90.7866233,0.44313969200000003,Able-bodied
2,RDA,4,95.7080964,0.386277739,Able-bodied
2,QDA,4,97.143244,0.528588803,Able-bodied
2,LDA,5,92.95965340000001,0.41192203299999997,Able-bodied
2,RDA,5,96.2361224,0.381586262,Able-bodied
2,QDA,5,97.5764961,0.545010429,Able-bodied
2,LDA,6,94.59788790000002,0.368491914,Able-bodied
2,RDA,6,96.9943136,0.373187114,Able-bodied
2,QDA,6,97.7389656,0.536757942,Able-bodied
2,LDA,7,95.5185486,0.337205951,Able-bodied
2,RDA,7,97.27863529999999,0.36743286799999997,Able-bodied
2,QDA,7,97.8946656,0.515494062,Able-bodied
2,LDA,8,96.1075007,0.34437087200000005,Able-bodied
2,RDA,8,97.25832659999999,0.398204454,Able-bodied
2,QDA,8,97.9420525,0.551569718,Able-bodied
2,LDA,9,96.5272136,0.330938483,Able-bodied
2,RDA,9,97.4004874,0.390820055,Able-bodied
2,QDA,9,98.0774438,0.542203501,Able-bodied
2,LDA,10,96.5949093,0.327787149,Able-bodied
2,RDA,10,97.5223396,0.388865905,Able-bodied
2,QDA,10,98.0977525,0.5419759160000001,Able-bodied
2,LDA,11,96.6490658,0.33819565799999995,Able-bodied
2,RDA,11,97.5223396,0.414673012,Able-bodied
2,QDA,11,98.1180612,0.5542383879999999,Able-bodied
2,LDA,12,97.1838614,0.323308411,Able-bodied
2,RDA,12,97.60357429999999,0.412964471,Able-bodied
2,QDA,12,98.2263742,0.537225075,Able-bodied
2,LDA,13,97.64419170000001,0.314289805,Able-bodied
2,RDA,13,97.79312209999999,0.397819825,Able-bodied
2,QDA,13,98.307609,0.5120928229999999,Able-bodied
2,LDA,14,97.935283,0.30804649100000003,Able-bodied
2,RDA,14,97.90143509999999,0.37736169,Able-bodied
2,QDA,14,98.2737612,0.522788648,Able-bodied
2,LDA,15,98.151909,0.318712858,Able-bodied
2,RDA,15,98.1112916,0.34586893,Able-bodied
2,QDA,15,98.3143786,0.518448266,Able-bodied
2,LDA,16,98.16544809999999,0.323549358,Able-bodied
2,RDA,16,98.1789873,0.339113444,Able-bodied
2,QDA,16,98.2737612,0.52998716,Able-bodied
3,LDA,1,74.53073509999999,0.8968720920000001,Able-bodied
3,RDA,1,77.4824473,0.745755484,Able-bodied
3,QDA,1,84.37455220000001,0.975010866,Able-bodied
3,LDA,2,80.4699814,0.730434673,Able-bodied
3,RDA,2,80.4699814,0.730434673,Able-bodied
3,QDA,2,89.79796529999999,1.010525741,Able-bodied
3,LDA,3,86.98954,0.556495195,Able-bodied
3,RDA,3,86.98954,0.556495195,Able-bodied
3,QDA,3,93.7670153,0.9721050059999999,Able-bodied
3,LDA,4,89.790801,0.478058349,Able-bodied
3,RDA,4,89.790801,0.478058349,Able-bodied
3,QDA,4,94.9921192,1.006234224,Able-bodied
3,LDA,5,92.0045852,0.43753378600000004,Able-bodied
3,RDA,5,92.0045852,0.43753378600000004,Able-bodied
3,QDA,5,95.5151168,0.9775888079999999,Able-bodied
3,LDA,6,93.6237283,0.41089322799999994,Able-bodied
3,RDA,6,93.6237283,0.41089322799999994,Able-bodied
3,QDA,6,95.85900559999999,0.9458082459999999,Able-bodied
3,LDA,7,94.0320963,0.405736727,Able-bodied
3,RDA,7,94.0320963,0.405736727,Able-bodied
3,QDA,7,96.0739361,0.9679356929999999,Able-bodied
3,LDA,8,94.53360079999999,0.420743989,Able-bodied
3,RDA,8,94.53360079999999,0.420743989,Able-bodied
3,QDA,8,96.1814013,0.965418661,Able-bodied
3,LDA,9,94.8488322,0.414291762,Able-bodied
3,RDA,9,94.8488322,0.414291762,Able-bodied
3,QDA,9,96.052443,1.0850241090000001,Able-bodied
3,LDA,10,95.5867603,0.407640822,Able-bodied
3,RDA,10,95.5867603,0.407640822,Able-bodied
3,QDA,10,96.1527439,1.0851748540000001,Able-bodied
3,LDA,11,95.9306491,0.392699444,Able-bodied
3,RDA,11,95.9306491,0.392699444,Able-bodied
3,QDA,11,96.2530448,1.075732027,Able-bodied
3,LDA,12,96.2602092,0.393304738,Able-bodied
3,RDA,12,96.2602092,0.393304738,Able-bodied
3,QDA,12,96.3605101,1.0893274990000001,Able-bodied
3,LDA,13,96.5324545,0.391826365,Able-bodied
3,RDA,13,96.5324545,0.391826365,Able-bodied
3,QDA,13,96.2458805,1.1344667259999999,Able-bodied
3,LDA,14,96.5037971,0.399161889,Able-bodied
3,RDA,14,96.5037971,0.399161889,Able-bodied
3,QDA,14,96.3963319,1.117127153,Able-bodied
3,LDA,15,96.68290590000001,0.38888445899999996,Able-bodied
3,RDA,15,96.68290590000001,0.38888445899999996,Able-bodied
3,QDA,15,96.49663279999999,1.1003120709999998,Able-bodied
3,LDA,16,96.68290590000001,0.409444535,Able-bodied
3,RDA,16,96.68290590000001,0.409444535,Able-bodied
3,QDA,16,96.51812579999999,1.073737706,Able-bodied
4,LDA,1,69.3023893,1.046954928,Able-bodied
4,RDA,1,71.7943452,0.897339668,Able-bodied
4,QDA,1,72.3420278,1.116046321,Able-bodied
4,LDA,2,75.62127749999999,0.888332613,Able-bodied
4,RDA,2,77.94208259999999,0.7792403809999999,Able-bodied
4,QDA,2,87.5676046,0.83489761,Able-bodied
4,LDA,3,81.0707195,0.76350533,Able-bodied
4,RDA,3,82.37831179999999,0.699681443,Able-bodied
4,QDA,3,90.0664065,0.855426921,Able-bodied
4,LDA,4,86.5680838,0.596396476,Able-bodied
4,RDA,4,86.8966934,0.579212794,Able-bodied
4,QDA,4,92.03806390000001,0.838279158,Able-bodied
4,LDA,5,90.0458684,0.510326894,Able-bodied
4,RDA,5,90.0458684,0.510326894,Able-bodied
4,QDA,5,92.7500513,0.9677430290000001,Able-bodied
4,LDA,6,90.6414733,0.520124282,Able-bodied
4,RDA,6,90.6414733,0.520124282,Able-bodied
4,QDA,6,93.1471212,1.053087809,Able-bodied
4,LDA,7,91.3329226,0.507746253,Able-bodied
4,RDA,7,91.3329226,0.507746253,Able-bodied
4,QDA,7,93.092353,1.253591425,Able-bodied
4,LDA,8,91.79845279999999,0.49873977799999997,Able-bodied
4,RDA,8,91.79845279999999,0.49873977799999997,Able-bodied
4,QDA,8,93.2635038,1.310640764,Able-bodied
4,LDA,9,92.1612925,0.501444085,Able-bodied
4,RDA,9,92.1612925,0.501444085,Able-bodied
4,QDA,9,93.523653,1.371384514,Able-bodied
4,LDA,10,92.4214418,0.5172227389999999,Able-bodied
4,RDA,10,92.4214418,0.5172227389999999,Able-bodied
4,QDA,10,93.3525022,1.436709575,Able-bodied
4,LDA,11,92.4488259,0.523943238,Able-bodied
4,RDA,11,92.4488259,0.523943238,Able-bodied
4,QDA,11,93.099199,1.587295318,Able-bodied
4,LDA,12,92.59259259999999,0.5392287339999999,Able-bodied
4,RDA,12,92.59259259999999,0.5392287339999999,Able-bodied
4,QDA,12,92.9006641,1.7531608319999998,Able-bodied
4,LDA,13,92.7500513,0.581418584,Able-bodied
4,RDA,13,92.7500513,0.581418584,Able-bodied
4,QDA,13,92.8116656,1.8789452690000001,Able-bodied
4,LDA,14,92.8253577,0.612298802,Able-bodied
4,RDA,14,92.8253577,0.612298802,Able-bodied
4,QDA,14,92.9554323,1.918191774,Able-bodied
4,LDA,15,92.85274179999999,0.605359202,Able-bodied
4,RDA,15,92.85274179999999,0.605359202,Able-bodied
4,QDA,15,92.9691244,1.944359516,Able-bodied
4,LDA,16,92.83220370000001,0.623806097,Able-bodied
4,RDA,16,92.83220370000001,0.623806097,Able-bodied
4,QDA,16,92.85274179999999,2.075278325,Able-bodied
5,LDA,1,73.1578947,0.9825718840000001,Able-bodied
5,RDA,1,78.1294452,0.70382831,Able-bodied
5,QDA,1,83.8975818,0.7317421829999999,Able-bodied
5,LDA,2,83.8549075,0.6611809829999999,Able-bodied
5,RDA,2,86.2091038,0.544119795,Able-bodied
5,QDA,2,92.61735420000001,0.648645538,Able-bodied
5,LDA,3,86.685633,0.57384773,Able-bodied
5,RDA,3,87.2190612,0.551105869,Able-bodied
5,QDA,3,95.7610242,0.626452035,Able-bodied
5,LDA,4,87.5462304,0.5438260970000001,Able-bodied
5,RDA,4,87.6671408,0.535151528,Able-bodied
5,QDA,4,96.3798009,0.657327593,Able-bodied
5,LDA,5,90.4054054,0.46421131600000004,Able-bodied
5,RDA,5,90.4054054,0.46421131600000004,Able-bodied
5,QDA,5,97.15504979999999,0.626339329,Able-bodied
5,LDA,6,91.4509246,0.41573363799999996,Able-bodied
5,RDA,6,91.4509246,0.41573363799999996,Able-bodied
5,QDA,6,97.52489329999999,0.619618418,Able-bodied
5,LDA,7,92.11948790000001,0.413886828,Able-bodied
5,RDA,7,92.1337127,0.413439474,Able-bodied
5,QDA,7,97.4893314,0.647494572,Able-bodied
5,LDA,8,94.53058320000001,0.33904359999999995,Able-bodied
5,RDA,8,94.5163585,0.339547429,Able-bodied
5,QDA,8,97.62446659999999,0.65270962,Able-bodied
5,LDA,9,95.0,0.32891251,Able-bodied
5,RDA,9,95.0,0.32891251,Able-bodied
5,QDA,9,97.75248930000001,0.65858426,Able-bodied
5,LDA,10,95.4978663,0.317010146,Able-bodied
5,RDA,10,95.4978663,0.317010146,Able-bodied
5,QDA,10,97.83783779999999,0.651089563,Able-bodied
5,LDA,11,96.344239,0.307077134,Able-bodied
5,RDA,11,96.344239,0.307077134,Able-bodied
5,QDA,11,97.7880512,0.658096302,Able-bodied
5,LDA,12,96.8349929,0.30627549800000003,Able-bodied
5,RDA,12,96.8349929,0.30627549800000003,Able-bodied
5,QDA,12,97.83783779999999,0.66900876,Able-bodied
5,LDA,13,97.52489329999999,0.29957426600000003,Able-bodied
5,RDA,13,97.52489329999999,0.29957426600000003,Able-bodied
5,QDA,13,97.89473679999999,0.668265891,Able-bodied
5,LDA,14,97.688478,0.304207331,Able-bodied
5,RDA,14,97.6671408,0.307903842,Able-bodied
5,QDA,14,97.87339970000001,0.676300742,Able-bodied
5,LDA,15,97.89473679999999,0.29817582,Able-bodied
5,RDA,15,97.88051209999999,0.328092958,Able-bodied
5,QDA,15,97.89473679999999,0.6808179459999999,Able-bodied
5,LDA,16,97.93741109999999,0.289789636,Able-bodied
5,RDA,16,97.85206259999998,0.35803796200000004,Able-bodied
5,QDA,16,97.916074,0.662142447,Able-bodied
6,LDA,1,72.62549909999998,0.881988313,Able-bodied
6,RDA,1,81.1252139,0.6561616020000001,Able-bodied
6,QDA,1,84.7832288,0.840161884,Able-bodied
6,LDA,2,82.0878494,0.662324493,Able-bodied
